com.samsung.health.weight
pkg_name	time_offset	start_time	height	comment	weight	datauuid	update_time	deviceuuid	create_time
com.sec.android.app.shealth	32400000	2015-01-11 10:34:56.095	170.0		70.0	b641d2ed-b461-4bb5-9e6b-5035f9e29b87	2015-01-11 22:34:56.128	ld2v1ksBQV	2015-01-11 22:34:56.128
com.sec.android.app.shealth	32400000	2015-01-11 19:34:56.095	171.0		72.0	33a32ab8-a9f1-4e49-91c6-aabcdbd16e10	2015-01-11 22:34:56.149	ld2v1ksBQV	2015-01-11 22:34:56.149
com.sec.android.app.shealth	32400000	2015-01-10 10:34:56.095	171.0		71.0	4ed509bb-12b7-4a0d-8586-8f8cc7fd3ab2	2015-01-11 22:34:56.165	ld2v1ksBQV	2015-01-11 22:34:56.165
com.sec.android.app.shealth	32400000	2015-01-10 19:34:56.095	170.0		74.0	630c67b0-626a-40c8-a649-37057f39f78f	2015-01-11 22:34:56.179	ld2v1ksBQV	2015-01-11 22:34:56.179
com.sec.android.app.shealth	32400000	2015-01-09 10:34:56.095	170.0		71.0	0d2b3abd-f07e-4b9b-a944-fba8b2fd6122	2015-01-11 22:34:56.194	ld2v1ksBQV	2015-01-11 22:34:56.194
com.sec.android.app.shealth	32400000	2015-01-09 19:34:56.095	170.0		73.0	087c4ba5-65f1-4bed-b9f8-511cb217cdf8	2015-01-11 22:34:56.208	ld2v1ksBQV	2015-01-11 22:34:56.208
com.sec.android.app.shealth	32400000	2015-01-08 10:34:56.095	171.0		73.0	9332b1d1-af70-4e88-8b31-86115fbff535	2015-01-11 22:34:56.223	ld2v1ksBQV	2015-01-11 22:34:56.223
com.sec.android.app.shealth	32400000	2015-01-08 19:34:56.095	171.0		74.0	501f5d53-b295-4886-b1ba-95d8f2c170d3	2015-01-11 22:34:56.235	ld2v1ksBQV	2015-01-11 22:34:56.235
com.sec.android.app.shealth	32400000	2015-01-07 10:34:56.095	170.0		72.0	8cc2fc42-b08e-4e49-80dd-936b01bd6b3c	2015-01-11 22:34:56.249	ld2v1ksBQV	2015-01-11 22:34:56.249
com.sec.android.app.shealth	32400000	2015-01-07 19:34:56.095	172.0		73.0	0fedc282-91d1-46d2-9fa7-33eb0d5f7eee	2015-01-11 22:34:56.263	ld2v1ksBQV	2015-01-11 22:34:56.263
